ID	Species	R or P	Reaction Name	Mass
33_0	O	1	Elimination + enol to keto	18.010564684
33_0	C(CC=O)=O	1	Elimination + enol to keto	72.021129368
35_0	C(CO)O	-1	Elimination + enol to keto	62.036779432
35_0	O	1	Elimination + enol to keto	18.010564684
35_0	C(C)=O	1	Elimination + enol to keto	44.026214748
37_0	[Fe+3]	-1	Fe3 Complex Beta elimination from a sugar and Conversion to Acid	55.933291759999996
37_0	C(C(CO)O)=O	-1	Fe3 Complex Beta elimination from a sugar and Conversion to Acid	90.031694052
37_0	[Fe+3]	1	Fe3 Complex Beta elimination from a sugar and Conversion to Acid	55.933291759999996
37_0	C(C(C)O)(O)=O	1	Fe3 Complex Beta elimination from a sugar and Conversion to Acid	90.031694052
39_0	[Fe+3]	-1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933291759999996
39_0	[Fe+3]	-1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933291759999996
39_0	C(C(CO)O)=O	-1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	90.031694052
39_0	[H+]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	1.007276452
39_0	[H+]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	1.007276452
39_0	[Fe+2]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933840339999996
39_0	[Fe+2]	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	55.933840339999996
39_0	C(C(CO)=O)=O	1	Fe3 ---> Fe2 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group	88.016043988
40_0	[H+]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	1.007276452
40_0	[H+]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	1.007276452
40_0	[Fe+2]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933840339999996
40_0	[Fe+2]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933840339999996
40_0	C(C=O)=O	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	58.005479304000005
40_0	C(CO)=O	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	60.021129368000004
40_0	[Fe+3]	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933291759999996
40_0	[Fe+3]	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933291759999996
41_0	[Fe+3]	-1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	55.933291759999996
41_0	[Fe+3]	-1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	55.933291759999996
41_0	C(CO)(O)=O	-1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	76.01604398799999
41_0	[H+]	1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	1.007276452
41_0	[H+]	1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	1.007276452
41_0	[Fe+2]	1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	55.933840339999996
41_0	[Fe+2]	1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	55.933840339999996
41_0	C(C(O)=O)=O	1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	74.000393924
43_0	C(C)=O	-1	Aldol Condensation	44.026214748
43_0	C(C)=O	-1	Aldol Condensation	44.026214748
43_0	C(CC(C)O)=O	1	Aldol Condensation	88.052429496
45_0	C=O	-1	Aldol Condensation	30.010564684
45_0	C(C)=O	-1	Aldol Condensation	44.026214748
45_0	C(CCO)=O	1	Aldol Condensation	74.036779432
46_0	O	-1	Benzilic Acid Rearrangement	18.010564684
46_0	C(C(C)=O)=O	-1	Benzilic Acid Rearrangement	72.021129368
46_0	C(C(C)O)(O)=O	1	Benzilic Acid Rearrangement	90.031694052
46_1	O	-1	Cannizarro 1	18.010564684
46_1	C(C(C)=O)=O	-1	Cannizarro 1	72.021129368
46_1	C(C(C)O)(O)=O	1	Cannizarro 1	90.031694052
47_0	C(C(C)O)(O)=O	-1	Benzilic Acid Rearrangement (inverse)	90.031694052
47_0	O	1	Benzilic Acid Rearrangement (inverse)	18.010564684
47_0	C(C(C)=O)=O	1	Benzilic Acid Rearrangement (inverse)	72.021129368
48_0	C(C(CO)=O)=O	-1	Retro Aldol	88.016043988
48_0	C=O	1	Retro Aldol	30.010564684
48_0	C(C=O)=O	1	Retro Aldol	58.005479304000005
49_0	C(CO)(CO)=O	-1	Keto-enol migration twice	90.031694052
49_0	C(C(CO)O)=O	1	Keto-enol migration twice	90.031694052
51_0	C(C(CO)=O)=O	-1	Keto-enol migration twice	88.016043988
51_0	C(C(C=O)O)=O	1	Keto-enol migration twice	88.016043988
52_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
52_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
52_0	C(C(O)=O)=O	-1	Cannizarro 2, HCHO (oxidation)	74.000393924
52_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
52_0	C(CO)(O)=O	1	Cannizarro 2, HCHO (oxidation)	76.01604398799999
54_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
54_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
54_0	C(C(C)=O)=O	-1	Cannizarro 2, HCHO (oxidation)	72.021129368
54_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
54_0	C(C)(CO)=O	1	Cannizarro 2, HCHO (oxidation)	74.036779432
55_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
55_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
55_0	C(CC=O)=O	-1	Cannizarro 2, HCHO (oxidation)	72.021129368
55_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
55_0	C(CCO)=O	1	Cannizarro 2, HCHO (oxidation)	74.036779432
57_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
57_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
57_0	C(C)=O	-1	Cannizarro 2, HCHO (oxidation)	44.026214748
57_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
57_0	CCO	1	Cannizarro 2, HCHO (oxidation)	46.041864812
58_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
58_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
58_0	C(C(CO)=O)=O	-1	Cannizarro 2, HCHO (oxidation)	88.016043988
58_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
58_0	C(CO)(CO)=O	1	Cannizarro 2, HCHO (oxidation)	90.031694052
60_0	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
60_0	O	-1	Cannizarro 2, HCHO (reduction)	18.010564684
60_0	C(C(O)=O)=O	-1	Cannizarro 2, HCHO (reduction)	74.000393924
60_0	CO	1	Cannizarro 2, HCHO (reduction)	32.026214748
60_0	C(C(O)=O)(O)=O	1	Cannizarro 2, HCHO (reduction)	89.995308544
62_0	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
62_0	O	-1	Cannizarro 2, HCHO (reduction)	18.010564684
62_0	C(C(C)=O)=O	-1	Cannizarro 2, HCHO (reduction)	72.021129368
62_0	CO	1	Cannizarro 2, HCHO (reduction)	32.026214748
62_0	C(C(C)=O)(O)=O	1	Cannizarro 2, HCHO (reduction)	88.01604398799999
64_0	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
64_0	O	-1	Cannizarro 2, HCHO (reduction)	18.010564684
64_0	C(CC=O)=O	-1	Cannizarro 2, HCHO (reduction)	72.021129368
64_0	CO	1	Cannizarro 2, HCHO (reduction)	32.026214748
64_0	C(CC(O)=O)=O	1	Cannizarro 2, HCHO (reduction)	88.016043988
66_0	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
66_0	O	-1	Cannizarro 2, HCHO (reduction)	18.010564684
66_0	C(C)=O	-1	Cannizarro 2, HCHO (reduction)	44.026214748
66_0	CO	1	Cannizarro 2, HCHO (reduction)	32.026214748
66_0	C(C)(O)=O	1	Cannizarro 2, HCHO (reduction)	60.021129368
67_0	C(C(CO)O)O	-1	Elimination + enol to keto	92.047344116
67_0	O	1	Elimination + enol to keto	18.010564684
67_0	C(C)(CO)=O	1	Elimination + enol to keto	74.036779432
68_0	C(C(CO)O)O	-1	Elimination + enol to keto	92.047344116
68_0	O	1	Elimination + enol to keto	18.010564684
68_0	C(CCO)=O	1	Elimination + enol to keto	74.036779432
70_0	C(C(C)O)(O)=O	-1	Elimination2	90.031694052
70_0	O	1	Elimination2	18.010564684
70_0	C=CC(O)=O	1	Elimination2	72.021129368
71_0	O	-1	Hydration of C(=O)C	18.010564684
71_0	C(C(C)=O)=O	-1	Hydration of C(=O)C	72.021129368
71_0	C(C(CO)O)=O	1	Hydration of C(=O)C	90.031694052
72_0	O	-1	Hydration of C(=O)C	18.010564684
72_0	C(CC=O)=O	-1	Hydration of C(=O)C	72.021129368
72_0	C(C(CO)O)=O	1	Hydration of C(=O)C	90.031694052
73_0	O	-1	Hydration of C(=O)C	18.010564684
73_0	C(C)=O	-1	Hydration of C(=O)C	44.026214748
73_0	C(CO)O	1	Hydration of C(=O)C	62.036779432
75_0	C(C(O)=O)=O	-1	Alpha-Keto Acid Decarboxylation	74.000393924
75_0	C=O	1	Alpha-Keto Acid Decarboxylation	30.010564684
75_0	C(=O)=O	1	Alpha-Keto Acid Decarboxylation	43.98982924
77_0	[H+]	-1	Fe2 ---> Fe3 Alpha Keto Reduction of a Carboxylic Acid (Fe2+ to Fe3+)	1.007276452
77_0	[Fe+2]	-1	Fe2 ---> Fe3 Alpha Keto Reduction of a Carboxylic Acid (Fe2+ to Fe3+)	55.933840339999996
77_0	[Fe+2]	-1	Fe2 ---> Fe3 Alpha Keto Reduction of a Carboxylic Acid (Fe2+ to Fe3+)	55.933840339999996
77_0	C(C(O)=O)=O	-1	Fe2 ---> Fe3 Alpha Keto Reduction of a Carboxylic Acid (Fe2+ to Fe3+)	74.000393924
77_0	[Fe+3]	1	Fe2 ---> Fe3 Alpha Keto Reduction of a Carboxylic Acid (Fe2+ to Fe3+)	55.933291759999996
77_0	[Fe+3]	1	Fe2 ---> Fe3 Alpha Keto Reduction of a Carboxylic Acid (Fe2+ to Fe3+)	55.933291759999996
77_0	[CH](C(O)=O)O	1	Fe2 ---> Fe3 Alpha Keto Reduction of a Carboxylic Acid (Fe2+ to Fe3+)	75.008218956
79_0	[H+]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	1.007276452
79_0	[H+]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	1.007276452
79_0	[Fe+2]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933840339999996
79_0	[Fe+2]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933840339999996
79_0	C(C(O)=O)=O	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	74.000393924
79_0	[Fe+3]	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933291759999996
79_0	[Fe+3]	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933291759999996
79_0	C(C(O)O)=O	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	76.01604398799999
81_0	[H+]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	1.007276452
81_0	[H+]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	1.007276452
81_0	[Fe+2]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933840339999996
81_0	[Fe+2]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933840339999996
81_0	C(C(C)=O)=O	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	72.021129368
81_0	[Fe+3]	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933291759999996
81_0	[Fe+3]	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933291759999996
81_0	C(C(C)O)=O	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	74.036779432
82_0	[H+]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	1.007276452
82_0	[H+]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	1.007276452
82_0	[Fe+2]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933840339999996
82_0	[Fe+2]	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933840339999996
82_0	C(C(CO)=O)=O	-1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	88.016043988
82_0	[Fe+3]	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933291759999996
82_0	[Fe+3]	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	55.933291759999996
82_0	C(C(CO)O)=O	1	Fe2 ---> Fe3 Conversion of Alpha Hydroxy Group of an aldehyde to Alpha Keto group, inverse	90.031694052
83_0	[Fe+3]	-1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	55.933291759999996
83_0	[Fe+3]	-1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	55.933291759999996
83_0	C(C(C)O)(O)=O	-1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	90.031694052
83_0	[H+]	1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	1.007276452
83_0	[H+]	1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	1.007276452
83_0	[Fe+2]	1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	55.933840339999996
83_0	[Fe+2]	1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	55.933840339999996
83_0	C(C(C)=O)(O)=O	1	Fe3 ---> Fe2 Conversion of Alpha Hydro Group of an ACID to Alpha Keto group	88.01604398799999
84_0	[H+]	-1	Fe2 ---> Fe3 Conversion of Alpha Keto Group of an ACID to Alpha Hydro group	1.007276452
84_0	[H+]	-1	Fe2 ---> Fe3 Conversion of Alpha Keto Group of an ACID to Alpha Hydro group	1.007276452
84_0	[Fe+2]	-1	Fe2 ---> Fe3 Conversion of Alpha Keto Group of an ACID to Alpha Hydro group	55.933840339999996
84_0	[Fe+2]	-1	Fe2 ---> Fe3 Conversion of Alpha Keto Group of an ACID to Alpha Hydro group	55.933840339999996
84_0	C(C(O)=O)=O	-1	Fe2 ---> Fe3 Conversion of Alpha Keto Group of an ACID to Alpha Hydro group	74.000393924
84_0	[Fe+3]	1	Fe2 ---> Fe3 Conversion of Alpha Keto Group of an ACID to Alpha Hydro group	55.933291759999996
84_0	[Fe+3]	1	Fe2 ---> Fe3 Conversion of Alpha Keto Group of an ACID to Alpha Hydro group	55.933291759999996
84_0	C(CO)(O)=O	1	Fe2 ---> Fe3 Conversion of Alpha Keto Group of an ACID to Alpha Hydro group	76.01604398799999
85_0	C(C)=O	-1	Aldol Condensation	44.026214748
85_0	C(=O)=O	-1	Aldol Condensation	43.98982924
85_0	C(CC(O)=O)=O	1	Aldol Condensation	88.016043988
86_0	C(CC(C)O)=O	-1	Retro Aldol	88.052429496
86_0	C(C)=O	1	Retro Aldol	44.026214748
86_0	C(C)=O	1	Retro Aldol	44.026214748
87_0	C(CCO)=O	-1	Retro Aldol	74.036779432
87_0	C=O	1	Retro Aldol	30.010564684
87_0	C(C)=O	1	Retro Aldol	44.026214748
88_0	C(CC(O)=O)=O	-1	Retro Aldol	88.016043988
88_0	C(C)=O	1	Retro Aldol	44.026214748
88_0	C(=O)=O	1	Retro Aldol	43.98982924
88_1	C(CC(O)=O)=O	-1	Beta Decarboxylation	88.016043988
88_1	C(C)=O	1	Beta Decarboxylation	44.026214748
88_1	C(=O)=O	1	Beta Decarboxylation	43.98982924
89_0	C(C(C=O)O)=O	-1	Keto-enol migration twice	88.016043988
89_0	C(C(CO)=O)=O	1	Keto-enol migration twice	88.016043988
90_0	C(C)(CO)=O	-1	Keto-enol migration twice	74.036779432
90_0	C(C(C)O)=O	1	Keto-enol migration twice	74.036779432
91_0	C(C(O)O)=O	-1	Keto-enol migration twice	76.01604398799999
91_0	C(CO)(O)=O	1	Keto-enol migration twice	76.01604398799999
92_0	C(C(C)O)=O	-1	Keto-enol migration twice	74.036779432
92_0	C(C)(CO)=O	1	Keto-enol migration twice	74.036779432
94_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
94_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
94_0	C(CC(C)O)=O	-1	Cannizarro 2, HCHO (oxidation)	88.052429496
94_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
94_0	CC(CCO)O	1	Cannizarro 2, HCHO (oxidation)	90.06807956
96_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
96_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
96_0	C(CCO)=O	-1	Cannizarro 2, HCHO (oxidation)	74.036779432
96_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
96_0	C(CCO)O	1	Cannizarro 2, HCHO (oxidation)	76.052429496
97_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
97_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
97_0	C(C(C=O)O)=O	-1	Cannizarro 2, HCHO (oxidation)	88.016043988
97_0	C(C(CO)O)=O	1	Cannizarro 2, HCHO (oxidation)	90.031694052
97_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
99_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
99_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
99_0	C(CC(O)=O)=O	-1	Cannizarro 2, HCHO (oxidation)	88.016043988
99_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
99_0	C(CCO)(O)=O	1	Cannizarro 2, HCHO (oxidation)	90.031694052
101_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
101_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
101_0	C(C(O)O)=O	-1	Cannizarro 2, HCHO (oxidation)	76.01604398799999
101_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
101_0	C(C(O)O)O	1	Cannizarro 2, HCHO (oxidation)	78.031694052
103_0	C=O	-1	Cannizarro 2, HCHO (oxidation)	30.010564684
103_0	O	-1	Cannizarro 2, HCHO (oxidation)	18.010564684
103_0	C(C(C)O)=O	-1	Cannizarro 2, HCHO (oxidation)	74.036779432
103_0	C(O)=O	1	Cannizarro 2, HCHO (oxidation)	46.005479304
103_0	CC(CO)O	1	Cannizarro 2, HCHO (oxidation)	76.052429496
104_0	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
104_0	O	-1	Cannizarro 2, HCHO (reduction)	18.010564684
104_0	C(CCO)=O	-1	Cannizarro 2, HCHO (reduction)	74.036779432
104_0	CO	1	Cannizarro 2, HCHO (reduction)	32.026214748
104_0	C(CCO)(O)=O	1	Cannizarro 2, HCHO (reduction)	90.031694052
106_0	C=O	-1	Cannizarro 2, HCHO (reduction)	30.010564684
106_0	O	-1	Cannizarro 2, HCHO (reduction)	18.010564684
106_0	C(C(O)O)=O	-1	Cannizarro 2, HCHO (reduction)	76.01604398799999
106_0	CO	1	Cannizarro 2, HCHO (reduction)	32.026214748
