Source,Target,R or P,Reaction Name,Mass
168_0,C(C(C(CC(CO)O)=O)O)(O)=O,1,Elimination + enol to keto,178.04773803999998
169_0,O,1,Elimination + enol to keto,18.010564684
169_0,C(CC(C(O)=O)O)(C(CO)O)=O,1,Elimination + enol to keto,178.04773803999998
170_0,O,1,Elimination + enol to keto,18.010564684
170_0,C(C(C(C(O)=O)O)O)(CCO)=O,1,Elimination + enol to keto,178.04773803999998
171_0,O,1,Elimination + enol to keto,18.010564684
171_0,C(C(C(CC(CO)=O)O)O)(O)=O,1,Elimination + enol to keto,178.04773803999998
172_0,O,1,Elimination + enol to keto,18.010564684
172_0,C(C(C(C(C(C)=O)O)O)O)(O)=O,1,Elimination + enol to keto,178.04773803999998
173_0,O,1,Elimination + enol to keto,18.010564684
173_0,C(CC(C(C(C(O)=O)O)O)O)=O,1,Elimination + enol to keto,178.04773803999998
174_0,O,1,Elimination + enol to keto,18.010564684
174_0,C(CC(C(C(CO)O)O)O)=O,1,Elimination + enol to keto,164.068473484
175_0,O,1,Elimination + enol to keto,18.010564684
175_0,C(C)(C(C(C(CO)O)O)O)=O,1,Elimination + enol to keto,164.068473484
176_0,O,1,Elimination + enol to keto,18.010564684
176_0,C(CO)(CC(C(CO)O)O)=O,1,Elimination + enol to keto,164.068473484
177_0,O,1,Elimination + enol to keto,18.010564684
177_0,C(C(C(CO)O)O)(CCO)=O,1,Elimination + enol to keto,164.068473484
178_0,O,1,Elimination + enol to keto,18.010564684
178_0,C(C(CO)O)(CC(CO)O)=O,1,Elimination + enol to keto,164.068473484
180_0,O,1,Elimination + enol to keto,18.010564684
180_0,C(CCO)(CC(C=O)=O)=O,1,Elimination + enol to keto,144.042258736
182_0,O,1,Elimination + enol to keto,18.010564684
182_0,C(CO)(CCC(C=O)=O)=O,1,Elimination + enol to keto,144.042258736
184_0,O,1,Elimination + enol to keto,18.010564684
184_0,C(C)(C(CC(C=O)=O)O)=O,1,Elimination + enol to keto,144.042258736
186_0,O,1,Elimination + enol to keto,18.010564684
186_0,C(CC(CC(C=O)=O)O)=O,1,Elimination + enol to keto,144.042258736
188_0,O,1,Elimination + enol to keto,18.010564684
188_0,C(CC(C(CCO)=O)=O)=O,1,Elimination + enol to keto,144.042258736
190_0,O,1,Elimination + enol to keto,18.010564684
190_0,C(CC(CC(CO)=O)=O)=O,1,Elimination + enol to keto,144.042258736
192_0,O,1,Elimination + enol to keto,18.010564684
192_0,C(CC(C(C(C)=O)O)=O)=O,1,Elimination + enol to keto,144.042258736
194_0,O,1,Elimination + enol to keto,18.010564684
194_0,C(CC(C(CC=O)O)=O)=O,1,Elimination + enol to keto,144.042258736
196_0,O,1,Elimination + enol to keto,18.010564684
196_0,C(C(C=O)O)(CC(C)=O)=O,1,Elimination + enol to keto,144.042258736
198_0,O,1,Elimination + enol to keto,18.010564684
198_0,C(C(C(CCC=O)=O)O)=O,1,Elimination + enol to keto,144.042258736
200_0,O,1,Elimination + enol to keto,18.010564684
200_0,C(C(CC(C(C)=O)=O)O)=O,1,Elimination + enol to keto,144.042258736
202_0,O,1,Elimination + enol to keto,18.010564684
202_0,C(CC(CC(C=O)O)=O)=O,1,Elimination + enol to keto,144.042258736
203_0,O,1,Elimination + enol to keto,18.010564684
203_0,C(CCO)(CC(C=O)=O)=O,1,Elimination + enol to keto,144.042258736
204_0,O,1,Elimination + enol to keto,18.010564684
204_0,C(CC(C(CCO)=O)=O)=O,1,Elimination + enol to keto,144.042258736
205_0,O,1,Elimination + enol to keto,18.010564684
205_0,C(CO)(CCC(C=O)=O)=O,1,Elimination + enol to keto,144.042258736
206_0,O,1,Elimination + enol to keto,18.010564684
206_0,C(CC(CC(CO)=O)=O)=O,1,Elimination + enol to keto,144.042258736
207_0,O,1,Elimination + enol to keto,18.010564684
207_0,C(C)(C(CC(C=O)=O)O)=O,1,Elimination + enol to keto,144.042258736
208_0,O,1,Elimination + enol to keto,18.010564684
208_0,C(CC(C(C(C)=O)O)=O)=O,1,Elimination + enol to keto,144.042258736
209_0,O,1,Elimination + enol to keto,18.010564684
209_0,C(C(C=O)O)(CC(C)=O)=O,1,Elimination + enol to keto,144.042258736
210_0,O,1,Elimination + enol to keto,18.010564684
210_0,C(C(CC(C(C)=O)=O)O)=O,1,Elimination + enol to keto,144.042258736
211_0,O,1,Elimination + enol to keto,18.010564684
211_0,C(CC(CC(C=O)=O)O)=O,1,Elimination + enol to keto,144.042258736
212_0,O,1,Elimination + enol to keto,18.010564684
212_0,C(CC(C(CC=O)O)=O)=O,1,Elimination + enol to keto,144.042258736
213_0,O,1,Elimination + enol to keto,18.010564684
213_0,C(C(C(CCC=O)=O)O)=O,1,Elimination + enol to keto,144.042258736
214_0,O,1,Elimination + enol to keto,18.010564684
214_0,C(CC(CC(C=O)O)=O)=O,1,Elimination + enol to keto,144.042258736
216_0,O,1,Elimination + enol to keto,18.010564684
216_0,C1(CC(C(C(CO)O)O1)O)=O,1,Elimination + enol to keto,162.05282342
218_0,O,1,Elimination + enol to keto,18.010564684
218_0,C1(COC(C(CO)O)C1O)=O,1,Elimination + enol to keto,162.05282342
220_0,O,1,Elimination + enol to keto,18.010564684
220_0,C1(C(O)OC(C(CO)O)C1)=O,1,Elimination + enol to keto,162.05282342
222_0,O,1,Elimination + enol to keto,18.010564684
222_0,C1(C(C(CO)O)OC(C1)O)=O,1,Elimination + enol to keto,162.05282342
224_0,O,1,Elimination + enol to keto,18.010564684
224_0,C(C)(C1C(C(C(O1)O)O)O)=O,1,Elimination + enol to keto,162.05282342
226_0,O,1,Elimination + enol to keto,18.010564684
226_0,C(CC1C(C(C(O)O1)O)O)=O,1,Elimination + enol to keto,162.05282342
228_0,O,1,Elimination + enol to keto,18.010564684
228_0,C1(CC(C(C(CO)O1)O)O)=O,1,Elimination + enol to keto,162.05282342
230_0,O,1,Elimination + enol to keto,18.010564684
230_0,C1(COC(CO)C(C1O)O)=O,1,Elimination + enol to keto,162.05282342
232_0,O,1,Elimination + enol to keto,18.010564684
232_0,C1(C(O)OC(CO)C(C1)O)=O,1,Elimination + enol to keto,162.05282342
234_0,O,1,Elimination + enol to keto,18.010564684
234_0,C1(C(C(CO)OC(C1)O)O)=O,1,Elimination + enol to keto,162.05282342
236_0,O,1,Elimination + enol to keto,18.010564684
236_0,C1(C(C(O)OC(CO)C1)O)=O,1,Elimination + enol to keto,162.05282342
238_0,O,1,Elimination + enol to keto,18.010564684
238_0,C1(C(CO)OC(C(C1)O)O)=O,1,Elimination + enol to keto,162.05282342
240_0,O,1,Elimination + enol to keto,18.010564684
240_0,C1(CC(C(C(CO1)O)O)O)=O,1,Elimination + enol to keto,162.05282342
242_0,O,1,Elimination + enol to keto,18.010564684
242_0,C1(COCC(C(C1O)O)O)=O,1,Elimination + enol to keto,162.05282342
244_0,O,1,Elimination + enol to keto,18.010564684
244_0,C1(C(O)OCC(C(C1)O)O)=O,1,Elimination + enol to keto,162.05282342
246_0,O,1,Elimination + enol to keto,18.010564684
246_0,C1(C(C(COC(C1)O)O)O)=O,1,Elimination + enol to keto,162.05282342
248_0,O,1,Elimination + enol to keto,18.010564684
248_0,C1(C(C(O)OCC(C1)O)O)=O,1,Elimination + enol to keto,162.05282342
250_0,O,1,Elimination + enol to keto,18.010564684
250_0,C1(C(COC(C(C1)O)O)O)=O,1,Elimination + enol to keto,162.05282342
252_0,O,1,Elimination + enol to keto,18.010564684
252_0,C1(C(C(C(O)OCC1)O)O)=O,1,Elimination + enol to keto,162.05282342
254_0,O,1,Elimination + enol to keto,18.010564684
254_0,C1(COC(C(C(C1)O)O)O)=O,1,Elimination + enol to keto,162.05282342
256_0,O,1,Elimination2,18.010564684
256_0,C(C(CO)O)=CC(C=O)=O,1,Elimination2,144.042258736
258_0,O,1,Elimination2,18.010564684
258_0,C(C(C(C=CCO)=O)O)=O,1,Elimination2,144.042258736
260_0,O,1,Elimination2,18.010564684
260_0,C(C=CC(C(CO)O)=O)=O,1,Elimination2,144.042258736
262_0,O,1,Elimination2,18.010564684
262_0,C(C(C(C(C=C)=O)O)O)=O,1,Elimination2,144.042258736
264_0,O,1,Elimination2,18.010564684
264_0,C(C(C=CC(CO)=O)O)=O,1,Elimination2,144.042258736
266_0,O,1,Elimination2,18.010564684
266_0,C(C(C(C=CC=O)O)O)=O,1,Elimination2,144.042258736
267_0,C(C(C(C(C(CO)O)O)O)O)=O,1,Hydration of C(=O)C,180.063388104
268_0,C(C(C(CO)O)O)(C(CO)O)=O,1,Hydration of C(=O)C,180.063388104
269_0,C(C(C(C(C(CO)O)O)O)O)=O,1,Hydration of C(=O)C,180.063388104
270_0,C(C(C(C(C(CO)O)O)O)O)=O,1,Hydration of C(=O)C,180.063388104
271_0,C(C(C(C(C(CO)O)O)O)O)=O,1,Hydration of C(=O)C,180.063388104
272_0,C(C(C(C(C(CO)O)O)O)O)=O,1,Hydration of C(=O)C,180.063388104
273_0,C(C(C(C(C(CO)O)O)O)O)=O,1,Hydration of C(=O)C,180.063388104
274_0,C(C(C(C(C(CO)O)O)O)O)=O,1,Hydration of C(=O)C,180.063388104
275_0,C(C(C(C(C(CO)O)O)O)O)=O,1,Hydration of C(=O)C,180.063388104
277_0,C1C(C(C(O)O1)O)O,1,Hemiacetal Formation for 5 membered rings,120.042258736
279_0,C(C1(C(C(C(CO)O1)O)O)O)O,1,Hemiacetal Formation for 5 membered rings,180.063388104
280_0,C1(C(O)OC(C(CO)O)C1)=O,1,Hemiacetal Formation for 5 membered rings,162.05282342
282_0,C(C1(CC(C(CO)O1)O)O)=O,1,Hemiacetal Formation for 5 membered rings,162.05282342
283_0,C1(C(C(CO)O)OC(C1)O)=O,1,Hemiacetal Formation for 5 membered rings,162.05282342
285_0,C(CC1(C(C(CO1)O)O)O)=O,1,Hemiacetal Formation for 5 membered rings,162.05282342
287_0,C(C(C1(CC(CO1)O)O)O)=O,1,Hemiacetal Formation for 5 membered rings,162.05282342
289_0,C(C1C(CC(CO)(O1)O)O)=O,1,Hemiacetal Formation for 5 membered rings,162.05282342
291_0,C(C1C(C(C(C)(O1)O)O)O)=O,1,Hemiacetal Formation for 5 membered rings,162.05282342
292_0,C(C)(C1C(C(C(O1)O)O)O)=O,1,Hemiacetal Formation for 5 membered rings,162.05282342
294_0,C(C(C1C(CC(O)O1)O)O)=O,1,Hemiacetal Formation for 5 membered rings,162.05282342
295_0,C(CC1C(C(C(O)O1)O)O)=O,1,Hemiacetal Formation for 5 membered rings,162.05282342
297_0,C1C(C(C(C(CO)(O)O1)O)O)O,1,Hemiacetal Formation for 6 membered rings,180.063388104
298_0,C1(C(O)OC(CO)C(C1)O)=O,1,Hemiacetal Formation for 6 membered rings,162.05282342
300_0,C(C1(CC(C(CO1)O)O)O)=O,1,Hemiacetal Formation for 6 membered rings,162.05282342
301_0,C1(C(C(CO)OC(C1)O)O)=O,1,Hemiacetal Formation for 6 membered rings,162.05282342
302_0,C1(C(C(O)OC(CO)C1)O)=O,1,Hemiacetal Formation for 6 membered rings,162.05282342
303_0,C1(C(CO)OC(C(C1)O)O)=O,1,Hemiacetal Formation for 6 membered rings,162.05282342
305_0,C(C1C(C(CC(O1)O)O)O)=O,1,Hemiacetal Formation for 6 membered rings,162.05282342
306_0,C1(C(O)OCC(C(C1)O)O)=O,1,Hemiacetal Formation for 7 membered rings,162.05282342
307_0,C1(C(C(COC(C1)O)O)O)=O,1,Hemiacetal Formation for 7 membered rings,162.05282342
308_0,C1(C(C(O)OCC(C1)O)O)=O,1,Hemiacetal Formation for 7 membered rings,162.05282342
309_0,C1(C(COC(C(C1)O)O)O)=O,1,Hemiacetal Formation for 7 membered rings,162.05282342
310_0,C1(C(C(C(O)OCC1)O)O)=O,1,Hemiacetal Formation for 7 membered rings,162.05282342
311_0,C1(COC(C(C(C1)O)O)O)=O,1,Hemiacetal Formation for 7 membered rings,162.05282342
312_0,C(C(C(C(C(CO)O)O)O)O)=O,1,"Hemiacetal Formation for 5 membered rings, inverse",180.063388104
313_0,C(C(C(C(C(CO)O)O)O)O)=O,1,"Hemiacetal Formation for 6 membered rings, inverse",180.063388104
