Source	Target	Reaction Name	Mass
35_0	C1C(C(C(C(C(O)O1)O)O)O)O	Hemiacetal Formation for 7 membered rings	180.063388104
C(CN)(O)=O	38_0	Transamination (inverse)	75.032028405
C(C(C(C(C(CO)O)O)O)O)=O	38_0	Transamination (inverse)	180.063388104
38_0	C(C(C(C(C(CN)O)O)O)O)O	Transamination (inverse)	181.095022585
38_0	C(C(O)=O)=O	Transamination (inverse)	74.00039392400001
C(CN)(O)=O	40_0	Strecker Degradation, HC	75.032028405
C(C(C(C(C(CO)O)O)O)O)=O	40_0	Strecker Degradation, HC	180.063388104
40_0	C(=O)=O	Strecker Degradation, HC	43.98982924
40_0	C(C(C(C(C(CN)O)O)O)O)O	Strecker Degradation, HC	181.095022585
40_0	C=O	Strecker Degradation, HC	30.010564684
C(C(C(C=O)O)O)(CCO)=O	42_0	Aldol Condensation	162.05282342
42_0	C1(C(C(C(C1CO)O)O)O)=O	Aldol Condensation	162.05282342
C(C(C(C=O)O)O)(CCO)=O	42_1	Knoevenagel C	162.05282342
42_1	C1(C(C(C(C1CO)O)O)O)=O	Knoevenagel C	162.05282342
C(C(C(CC(CO)=O)O)O)=O	44_0	Aldol Condensation	162.05282342
44_0	C1(C(C(C(C(C1)O)O)O)O)=O	Aldol Condensation	162.05282342
C(C(C(CC(CO)=O)O)O)=O	44_1	Knoevenagel H	162.05282342
44_1	C1(C(C(C(C(C1)O)O)O)O)=O	Knoevenagel H	162.05282342
C(C(C(C(C(C)=O)O)O)O)=O	45_0	Aldol Condensation	162.05282342
45_0	C1(C(C(C(C(C1)O)O)O)O)=O	Aldol Condensation	162.05282342
C(CC(C(C(C=O)O)O)O)=O	47_0	Aldol Condensation	162.05282342
47_0	C(C1C(C(C(C1O)O)O)O)=O	Aldol Condensation	162.05282342
C(CC(C(C(C=O)O)O)O)=O	47_1	Knoevenagel C	162.05282342
47_1	C(C1C(C(C(C1O)O)O)O)=O	Knoevenagel C	162.05282342
C(CO)=O	48_0	Aldol Condensation	60.021129368000004
C(CO)=O	48_0	Aldol Condensation	60.021129368000004
48_0	C(C(C(CO)O)O)=O	Aldol Condensation	120.04225873600001
C(CO)=O	48_1	Knoevenagel H	60.021129368000004
C(CO)=O	48_1	Knoevenagel H	60.021129368000004
48_1	C(C(C(CO)O)O)=O	Knoevenagel H	120.04225873600001
C(CO)=O	49_0	Aldol Condensation	60.021129368000004
C(C(C(CO)O)O)=O	49_0	Aldol Condensation	120.04225873600001
49_0	C(C(C(C(C(CO)O)O)O)O)=O	Aldol Condensation	180.063388104
C(CO)=O	49_1	Knoevenagel H	60.021129368000004
C(C(C(CO)O)O)=O	49_1	Knoevenagel H	120.04225873600001
49_1	C(C(C(C(C(CO)O)O)O)O)=O	Knoevenagel H	180.063388104
C(CO)=O	51_0	Aldol Condensation	60.021129368000004
C(=O)=O	51_0	Aldol Condensation	43.98982924
51_0	C(C(C=O)O)(O)=O	Aldol Condensation	104.01095860800001
C(CO)=O	51_1	Knoevenagel H	60.021129368000004
C(=O)=O	51_1	Knoevenagel H	43.98982924
51_1	C(C(C=O)O)(O)=O	Knoevenagel H	104.01095860800001
C(CO)=O	53_0	Aldol Condensation	60.021129368000004
C(C(O)=O)=O	53_0	Aldol Condensation	74.00039392400001
53_0	C(C(C(C=O)O)O)(O)=O	Aldol Condensation	134.021523292
C(CO)=O	53_1	Knoevenagel H	60.021129368000004
C(C(O)=O)=O	53_1	Knoevenagel H	74.00039392400001
53_1	C(C(C(C=O)O)O)(O)=O	Knoevenagel H	134.021523292
C(CO)=O	55_0	Aldol Condensation	60.021129368000004
C=O	55_0	Aldol Condensation	30.010564684
55_0	C(C(CO)O)=O	Aldol Condensation	90.031694052
C(CO)=O	55_1	Knoevenagel H	60.021129368000004
C=O	55_1	Knoevenagel H	30.010564684
55_1	C(C(CO)O)=O	Knoevenagel H	90.031694052
C(C(CC(C(CO)O)O)=O)=O	57_0	Aldol Condensation	162.05282342
C=O	57_0	Aldol Condensation	30.010564684
57_0	C(C(C(CO)C(C(CO)O)O)=O)=O	Aldol Condensation	192.063388104
C(C(CC(C(CO)O)O)=O)=O	57_1	Knoevenagel C	162.05282342
C=O	57_1	Knoevenagel C	30.010564684
57_1	C(C(C(CO)C(C(CO)O)O)=O)=O	Knoevenagel C	192.063388104
C(CC(C(C(CO)O)O)=O)=O	59_0	Aldol Condensation	162.05282342
C=O	59_0	Aldol Condensation	30.010564684
59_0	C(C(C(C(C(CO)O)O)=O)CO)=O	Aldol Condensation	192.063388104
C(CC(C(C(CO)O)O)=O)=O	59_1	Knoevenagel C	162.05282342
C=O	59_1	Knoevenagel C	30.010564684
59_1	C(C(C(C(C(CO)O)O)=O)CO)=O	Knoevenagel C	192.063388104
C(C(C(CC(CO)O)=O)O)=O	61_0	Aldol Condensation	162.05282342
C=O	61_0	Aldol Condensation	30.010564684
61_0	C(C(C(C(CO)C(CO)O)=O)O)=O	Aldol Condensation	192.063388104
C(C(C(CC(CO)O)=O)O)=O	61_1	Knoevenagel C	162.05282342
C=O	61_1	Knoevenagel C	30.010564684
61_1	C(C(C(C(CO)C(CO)O)=O)O)=O	Knoevenagel C	192.063388104
C(CC(C=O)O)(C(CO)O)=O	63_0	Aldol Condensation	162.05282342
C=O	63_0	Aldol Condensation	30.010564684
63_0	C(C(CO)C(C=O)O)(C(CO)O)=O	Aldol Condensation	192.063388104
C(CC(C=O)O)(C(CO)O)=O	63_1	Knoevenagel C	162.05282342
C=O	63_1	Knoevenagel C	30.010564684
63_1	C(C(CO)C(C=O)O)(C(CO)O)=O	Knoevenagel C	192.063388104
C(C(C(C=O)O)O)(CCO)=O	65_0	Aldol Condensation	162.05282342
C=O	65_0	Aldol Condensation	30.010564684
65_0	C(C(C(C=O)O)O)(C(CO)CO)=O	Aldol Condensation	192.063388104
C(C(C(C=O)O)O)(CCO)=O	65_1	Knoevenagel C	162.05282342
C=O	65_1	Knoevenagel C	30.010564684
65_1	C(C(C(C=O)O)O)(C(CO)CO)=O	Knoevenagel C	192.063388104
C(C(C(CC(CO)=O)O)O)=O	67_0	Aldol Condensation	162.05282342
C=O	67_0	Aldol Condensation	30.010564684
67_0	C(C(C(C(C(CO)=O)CO)O)O)=O	Aldol Condensation	192.063388104
C(C(C(CC(CO)=O)O)O)=O	67_1	Knoevenagel C	162.05282342
C=O	67_1	Knoevenagel C	30.010564684
67_1	C(C(C(C(C(CO)=O)CO)O)O)=O	Knoevenagel C	192.063388104
C(C(C(CC(CO)=O)O)O)=O	69_0	Aldol Condensation	162.05282342
C=O	69_0	Aldol Condensation	30.010564684
69_0	C(C(CO)O)(CC(C(C=O)O)O)=O	Aldol Condensation	192.063388104
C(C(C(CC(CO)=O)O)O)=O	69_1	Knoevenagel H	162.05282342
C=O	69_1	Knoevenagel H	30.010564684
69_1	C(C(CO)O)(CC(C(C=O)O)O)=O	Knoevenagel H	192.063388104
C(C(C(C(C(C)=O)O)O)O)=O	71_0	Aldol Condensation	162.05282342
C=O	71_0	Aldol Condensation	30.010564684
71_0	C(C(C(C(C=O)O)O)O)(CCO)=O	Aldol Condensation	192.063388104
C(CC(C(C(C=O)O)O)O)=O	73_0	Aldol Condensation	162.05282342
C=O	73_0	Aldol Condensation	30.010564684
73_0	C(C(CO)C(C(C(C=O)O)O)O)=O	Aldol Condensation	192.063388104
C(CC(C(C(C=O)O)O)O)=O	73_1	Knoevenagel C	162.05282342
C=O	73_1	Knoevenagel C	30.010564684
73_1	C(C(CO)C(C(C(C=O)O)O)O)=O	Knoevenagel C	192.063388104
O	75_0	Benzilic Acid Rearrangement	18.010564684
C(C(CC(C(CO)O)O)=O)=O	75_0	Benzilic Acid Rearrangement	162.05282342
75_0	C(C(CC(C(CO)O)O)O)(O)=O	Benzilic Acid Rearrangement	180.06338810399998
O	75_1	Cannizarro 1	18.010564684
C(C(CC(C(CO)O)O)=O)=O	75_1	Cannizarro 1	162.05282342
75_1	C(C(CC(C(CO)O)O)O)(O)=O	Cannizarro 1	180.06338810399998
C(C(C(C(C(CO)O)O)O)O)(O)=O	77_0	Benzilic Acid Rearrangement (inverse)	196.05830272400001
77_0	O	Benzilic Acid Rearrangement (inverse)	18.010564684
77_0	C(C(C(C(C(CO)O)O)O)=O)=O	Benzilic Acid Rearrangement (inverse)	178.04773804
C(C(C(CO)O)O)=O	78_0	Retro Aldol	120.04225873600001
78_0	C(CO)=O	Retro Aldol	60.021129368000004
78_0	C(CO)=O	Retro Aldol	60.021129368000004
C(C(C(CO)O)O)=O	78_1	Knoevenagel H (inv)	120.04225873600001
78_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
78_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
C(CO)(C(C(C(CO)O)O)O)=O	80_0	Retro Aldol	180.063388104
80_0	C(C(CO)O)=O	Retro Aldol	90.031694052
80_0	C(CO)(CO)=O	Retro Aldol	90.031694052
C(CO)(C(C(C(CO)O)O)O)=O	80_1	Knoevenagel H (inv)	180.063388104
80_1	C(C(CO)O)=O	Knoevenagel H (inv)	90.031694052
80_1	C(CO)(CO)=O	Knoevenagel H (inv)	90.031694052
C(C(CC(C(CO)O)O)=O)=O	82_0	Retro Aldol	162.05282342
82_0	C(C(CO)O)=O	Retro Aldol	90.031694052
82_0	C(C(C)=O)=O	Retro Aldol	72.021129368
C(CC(C(C(CO)O)O)=O)=O	84_0	Retro Aldol	162.05282342
84_0	C(CO)=O	Retro Aldol	60.021129368000004
84_0	C(CC(CO)=O)=O	Retro Aldol	102.031694052
C(CC(C(C(CO)O)O)=O)=O	84_1	Knoevenagel H (inv)	162.05282342
84_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
84_1	C(CC(CO)=O)=O	Knoevenagel H (inv)	102.031694052
C(C(C(CC(CO)O)=O)O)=O	86_0	Retro Aldol	162.05282342
86_0	C(CO)=O	Retro Aldol	60.021129368000004
86_0	C(C(C(C)=O)O)=O	Retro Aldol	102.031694052
C(CC(C=O)O)(C(CO)O)=O	89_0	Retro Aldol	162.05282342
89_0	C(C=O)=O	Retro Aldol	58.005479304000005
89_0	C(C)(C(CO)O)=O	Retro Aldol	104.047344116
C(CC(C=O)O)(C(CO)O)=O	91_0	Retro Aldol	162.05282342
91_0	C=O	Retro Aldol	30.010564684
91_0	C(C(CC(CO)=O)O)=O	Retro Aldol	132.042258736
C(CC(C=O)O)(C(CO)O)=O	91_1	Knoevenagel H (inv)	162.05282342
91_1	C=O	Knoevenagel H (inv)	30.010564684
91_1	C(C(CC(CO)=O)O)=O	Knoevenagel H (inv)	132.042258736
C(C(C(C=O)O)O)(CCO)=O	93_0	Retro Aldol	162.05282342
93_0	C(CO)=O	Retro Aldol	60.021129368000004
93_0	C(C(CCO)=O)=O	Retro Aldol	102.031694052
C(C(C(C=O)O)O)(CCO)=O	93_1	Knoevenagel H (inv)	162.05282342
93_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
93_1	C(C(CCO)=O)=O	Knoevenagel H (inv)	102.031694052
C(C(C(C=O)O)O)(CCO)=O	95_0	Retro Aldol	162.05282342
95_0	C(C=O)=O	Retro Aldol	58.005479304000005
95_0	C(CO)(CCO)=O	Retro Aldol	104.047344116
C(C(C(C=O)O)O)(CCO)=O	95_1	Knoevenagel H (inv)	162.05282342
95_1	C(C=O)=O	Knoevenagel H (inv)	58.005479304000005
95_1	C(CO)(CCO)=O	Knoevenagel H (inv)	104.047344116
C(C(C(C=O)O)O)(CCO)=O	97_0	Retro Aldol	162.05282342
97_0	C=O	Retro Aldol	30.010564684
97_0	C(C(C(C(C)=O)O)O)=O	Retro Aldol	132.042258736
C(C(C(CC(CO)=O)O)O)=O	98_0	Retro Aldol	162.05282342
98_0	C(CO)=O	Retro Aldol	60.021129368000004
98_0	C(CC(CO)=O)=O	Retro Aldol	102.031694052
C(C(C(CC(CO)=O)O)O)=O	98_1	Knoevenagel H (inv)	162.05282342
98_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
98_1	C(CC(CO)=O)=O	Knoevenagel H (inv)	102.031694052
C(C(C(CC(CO)=O)O)O)=O	101_0	Retro Aldol	162.05282342
101_0	C(C(C=O)O)=O	Retro Aldol	88.016043988
101_0	C(C)(CO)=O	Retro Aldol	74.036779432
C(C(C(C(C(C)=O)O)O)O)=O	102_0	Retro Aldol	162.05282342
102_0	C(CO)=O	Retro Aldol	60.021129368000004
102_0	C(C(C(C)=O)O)=O	Retro Aldol	102.031694052
C(C(C(C(C(C)=O)O)O)O)=O	102_1	Knoevenagel H (inv)	162.05282342
102_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
102_1	C(C(C(C)=O)O)=O	Knoevenagel H (inv)	102.031694052
C(C(C(C(C(C)=O)O)O)O)=O	103_0	Retro Aldol	162.05282342
103_0	C(C(C=O)O)=O	Retro Aldol	88.016043988
103_0	C(C)(CO)=O	Retro Aldol	74.036779432
C(C(C(C(C(C)=O)O)O)O)=O	103_1	Knoevenagel H (inv)	162.05282342
103_1	C(C(C=O)O)=O	Knoevenagel H (inv)	88.016043988
103_1	C(C)(CO)=O	Knoevenagel H (inv)	74.036779432
C(CC(C(C(C=O)O)O)O)=O	105_0	Retro Aldol	162.05282342
105_0	C(CO)=O	Retro Aldol	60.021129368000004
105_0	C(CC(C=O)O)=O	Retro Aldol	102.031694052
C(CC(C(C(C=O)O)O)O)=O	105_1	Knoevenagel H (inv)	162.05282342
105_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
105_1	C(CC(C=O)O)=O	Knoevenagel H (inv)	102.031694052
C(CC(C(C(C=O)O)O)O)=O	108_0	Retro Aldol	162.05282342
108_0	C(C(C(C=O)O)O)=O	Retro Aldol	118.02660867200001
108_0	C(C)=O	Retro Aldol	44.026214748
C(CO)=O	109_0	Keto-enol migration twice	60.021129368000004
109_0	C(CO)=O	Keto-enol migration twice	60.021129368000004
C(C(C(CO)O)O)=O	111_0	Keto-enol migration twice	120.04225873600001
111_0	C(CO)(C(CO)O)=O	Keto-enol migration twice	120.04225873600001
C(CO)(C(C(C(CO)O)O)O)=O	112_0	Keto-enol migration twice	180.063388104
112_0	C(C(C(C(C(CO)O)O)O)O)=O	Keto-enol migration twice	180.063388104
C(CO)(C(C(C(CO)O)O)O)=O	114_0	Keto-enol migration twice	180.063388104
114_0	C(C(C(CO)O)O)(C(CO)O)=O	Keto-enol migration twice	180.063388104
C(CC(C(C(CO)O)O)=O)=O	116_0	Keto-enol migration twice	162.05282342
116_0	C(CC(C(C(CO)O)=O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(CC(CO)O)=O)O)=O	118_0	Keto-enol migration twice	162.05282342
118_0	C(C(CO)=O)(CC(CO)O)=O	Keto-enol migration twice	162.05282342
C(C(C(CC(CO)O)=O)O)=O	120_0	Keto-enol migration twice	162.05282342
120_0	C(C(C(CC(CO)O)O)=O)=O	Keto-enol migration twice	162.05282342
C(CC(C=O)O)(C(CO)O)=O	122_0	Keto-enol migration twice	162.05282342
122_0	C(C(CO)O)(CC(CO)=O)=O	Keto-enol migration twice	162.05282342
C(CC(C=O)O)(C(CO)O)=O	124_0	Keto-enol migration twice	162.05282342
124_0	C(C(CC(C(CO)=O)O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(C=O)O)O)(CCO)=O	126_0	Keto-enol migration twice	162.05282342
126_0	C(CCO)(C(C(CO)=O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(C=O)O)O)(CCO)=O	128_0	Keto-enol migration twice	162.05282342
128_0	C(C(C(C(CCO)O)=O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(CC(CO)=O)O)O)=O	130_0	Keto-enol migration twice	162.05282342
130_0	C(CO)(C(CC(CO)=O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(CC(CO)=O)O)O)=O	132_0	Keto-enol migration twice	162.05282342
132_0	C(C(C(CC(C=O)O)O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(C(C(C)=O)O)O)O)=O	134_0	Keto-enol migration twice	162.05282342
134_0	C(C)(C(C(C(CO)=O)O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(C(C(C)=O)O)O)O)=O	136_0	Keto-enol migration twice	162.05282342
136_0	C(C(C(C=O)O)O)(C(C)O)=O	Keto-enol migration twice	162.05282342
C(CC(C(C(C=O)O)O)O)=O	138_0	Keto-enol migration twice	162.05282342
138_0	C(CC(C(C(CO)=O)O)O)=O	Keto-enol migration twice	162.05282342
C(CO)=O	140_0	Amadori/Heyns Rearrangement	60.021129368000004
CN	140_0	Amadori/Heyns Rearrangement	31.042199165
140_0	O	Amadori/Heyns Rearrangement	18.010564684
140_0	C(CNC)=O	Amadori/Heyns Rearrangement	73.052763849
C(C(C(CO)O)O)=O	142_0	Amadori/Heyns Rearrangement	120.04225873600001
CN	142_0	Amadori/Heyns Rearrangement	31.042199165
142_0	O	Amadori/Heyns Rearrangement	18.010564684
142_0	C(CNC)(C(CO)O)=O	Amadori/Heyns Rearrangement	133.073893217
C(CO)(C(C(C(CO)O)O)O)=O	144_0	Amadori/Heyns Rearrangement	180.063388104
CN	144_0	Amadori/Heyns Rearrangement	31.042199165
144_0	O	Amadori/Heyns Rearrangement	18.010564684
144_0	C(C(C(C(C(CO)O)O)O)NC)=O	Amadori/Heyns Rearrangement	193.095022585
C(CO)(C(C(C(CO)O)O)O)=O	146_0	Amadori/Heyns Rearrangement	180.063388104
CN	146_0	Amadori/Heyns Rearrangement	31.042199165
146_0	O	Amadori/Heyns Rearrangement	18.010564684
146_0	C(C(C(CO)O)O)(C(CO)NC)=O	Amadori/Heyns Rearrangement	193.095022585
CN	148_0	Amadori/Heyns Rearrangement	31.042199165
C(CC(C(C(CO)O)O)=O)=O	148_0	Amadori/Heyns Rearrangement	162.05282342
148_0	O	Amadori/Heyns Rearrangement	18.010564684
148_0	C(CC(C(C(CO)O)=O)NC)=O	Amadori/Heyns Rearrangement	175.084457901
CN	150_0	Amadori/Heyns Rearrangement	31.042199165
C(C(C(CC(CO)O)=O)O)=O	150_0	Amadori/Heyns Rearrangement	162.05282342
150_0	O	Amadori/Heyns Rearrangement	18.010564684
150_0	C(C(CNC)=O)(CC(CO)O)=O	Amadori/Heyns Rearrangement	175.084457901
CN	152_0	Amadori/Heyns Rearrangement	31.042199165
C(C(C(CC(CO)O)=O)O)=O	152_0	Amadori/Heyns Rearrangement	162.05282342
152_0	O	Amadori/Heyns Rearrangement	18.010564684
152_0	C(C(C(CC(CO)O)NC)=O)=O	Amadori/Heyns Rearrangement	175.084457901
CN	154_0	Amadori/Heyns Rearrangement	31.042199165
C(CC(C=O)O)(C(CO)O)=O	154_0	Amadori/Heyns Rearrangement	162.05282342
154_0	O	Amadori/Heyns Rearrangement	18.010564684
154_0	C(C(CO)O)(CC(CNC)=O)=O	Amadori/Heyns Rearrangement	175.084457901
CN	156_0	Amadori/Heyns Rearrangement	31.042199165
C(CC(C=O)O)(C(CO)O)=O	156_0	Amadori/Heyns Rearrangement	162.05282342
156_0	O	Amadori/Heyns Rearrangement	18.010564684
156_0	C(C(CC(C(CO)=O)NC)O)=O	Amadori/Heyns Rearrangement	175.084457901
CN	158_0	Amadori/Heyns Rearrangement	31.042199165
C(C(C(C=O)O)O)(CCO)=O	158_0	Amadori/Heyns Rearrangement	162.05282342
158_0	O	Amadori/Heyns Rearrangement	18.010564684
158_0	C(CCO)(C(C(CNC)=O)O)=O	Amadori/Heyns Rearrangement	175.084457901
CN	160_0	Amadori/Heyns Rearrangement	31.042199165
C(C(C(C=O)O)O)(CCO)=O	160_0	Amadori/Heyns Rearrangement	162.05282342
160_0	O	Amadori/Heyns Rearrangement	18.010564684
160_0	C(C(C(C(CCO)NC)=O)O)=O	Amadori/Heyns Rearrangement	175.084457901
CN	162_0	Amadori/Heyns Rearrangement	31.042199165
C(C(C(CC(CO)=O)O)O)=O	162_0	Amadori/Heyns Rearrangement	162.05282342
162_0	O	Amadori/Heyns Rearrangement	18.010564684
162_0	C(CC(C(CNC)=O)O)(CO)=O	Amadori/Heyns Rearrangement	175.084457901
CN	164_0	Amadori/Heyns Rearrangement	31.042199165
C(C(C(CC(CO)=O)O)O)=O	164_0	Amadori/Heyns Rearrangement	162.05282342
164_0	O	Amadori/Heyns Rearrangement	18.010564684
164_0	C(C(CC(C(C=O)O)O)NC)=O	Amadori/Heyns Rearrangement	175.084457901
CN	166_0	Amadori/Heyns Rearrangement	31.042199165
C(C(C(C(C(C)=O)O)O)O)=O	166_0	Amadori/Heyns Rearrangement	162.05282342
166_0	O	Amadori/Heyns Rearrangement	18.010564684
166_0	C(C(C(C(CNC)=O)O)O)(C)=O	Amadori/Heyns Rearrangement	175.084457901
CN	168_0	Amadori/Heyns Rearrangement	31.042199165
C(C(C(C(C(C)=O)O)O)O)=O	168_0	Amadori/Heyns Rearrangement	162.05282342
168_0	O	Amadori/Heyns Rearrangement	18.010564684
168_0	C(C(C(C=O)O)O)(C(C)NC)=O	Amadori/Heyns Rearrangement	175.084457901
CN	170_0	Amadori/Heyns Rearrangement	31.042199165
C(CC(C(C(C=O)O)O)O)=O	170_0	Amadori/Heyns Rearrangement	162.05282342
170_0	O	Amadori/Heyns Rearrangement	18.010564684
170_0	C(CC(C(C(CNC)=O)O)O)=O	Amadori/Heyns Rearrangement	175.084457901
C(CN)(O)=O	172_0	Amadori/Heyns Rearrangement	75.032028405
C(CO)=O	172_0	Amadori/Heyns Rearrangement	60.021129368000004
172_0	O	Amadori/Heyns Rearrangement	18.010564684
172_0	C(CNCC(O)=O)=O	Amadori/Heyns Rearrangement	117.04259308900001
C(CN)(O)=O	174_0	Amadori/Heyns Rearrangement	75.032028405
C(C(C(CO)O)O)=O	174_0	Amadori/Heyns Rearrangement	120.04225873600001
174_0	O	Amadori/Heyns Rearrangement	18.010564684
174_0	C(CNCC(O)=O)(C(CO)O)=O	Amadori/Heyns Rearrangement	177.063722457
C(C(C(C(C(CO)O)O)O)O)=O	176_0	Amadori/Heyns Rearrangement	180.063388104
CN	176_0	Amadori/Heyns Rearrangement	31.042199165
176_0	O	Amadori/Heyns Rearrangement	18.010564684
176_0	C(CNC)(C(C(C(CO)O)O)O)=O	Amadori/Heyns Rearrangement	193.095022585
C(C(C(C(C(CO)O)O)O)O)=O	178_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	178_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(CO)=O	178_0	Cannizarro 2, glucose (oxidation)	60.021129368000004
178_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
178_0	C(CO)O	Cannizarro 2, glucose (oxidation)	62.036779432
C(C(C(C(C(CO)O)O)O)O)=O	180_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	180_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(C(C(CO)O)O)=O	180_0	Cannizarro 2, glucose (oxidation)	120.04225873600001
180_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
180_0	C(C(C(CO)O)O)O	Cannizarro 2, glucose (oxidation)	122.0579088
C(C(C(C(C(CO)O)O)O)O)=O	182_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	182_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(C(CC(C(CO)O)O)=O)=O	182_0	Cannizarro 2, glucose (oxidation)	162.05282342
182_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
182_0	C(CO)(CC(C(CO)O)O)=O	Cannizarro 2, glucose (oxidation)	164.068473484
