Source	Target	Reaction Name	Mass
C(CC(C(C(CO)O)O)=O)=O	52_1	Knoevenagel H (inv)	162.05282342
52_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
52_1	C(CC(CO)=O)=O	Knoevenagel H (inv)	102.031694052
C(C(C(CC(CO)O)=O)O)=O	54_0	Retro Aldol	162.05282342
54_0	C(CO)=O	Retro Aldol	60.021129368000004
54_0	C(C(C(C)=O)O)=O	Retro Aldol	102.031694052
C(CC(C=O)O)(C(CO)O)=O	57_0	Retro Aldol	162.05282342
57_0	C(C=O)=O	Retro Aldol	58.005479304000005
57_0	C(C)(C(CO)O)=O	Retro Aldol	104.047344116
C(CC(C=O)O)(C(CO)O)=O	60_0	Retro Aldol	162.05282342
60_0	C(C(CC(CO)=O)O)=O	Retro Aldol	132.042258736
60_0	C=O	Retro Aldol	30.010564684
C(CC(C=O)O)(C(CO)O)=O	60_1	Knoevenagel H (inv)	162.05282342
60_1	C(C(CC(CO)=O)O)=O	Knoevenagel H (inv)	132.042258736
60_1	C=O	Knoevenagel H (inv)	30.010564684
C(C(C(C=O)O)O)(CCO)=O	62_0	Retro Aldol	162.05282342
62_0	C(CO)=O	Retro Aldol	60.021129368000004
62_0	C(C(CCO)=O)=O	Retro Aldol	102.031694052
C(C(C(C=O)O)O)(CCO)=O	62_1	Knoevenagel H (inv)	162.05282342
62_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
62_1	C(C(CCO)=O)=O	Knoevenagel H (inv)	102.031694052
C(C(C(C=O)O)O)(CCO)=O	64_0	Retro Aldol	162.05282342
64_0	C(C=O)=O	Retro Aldol	58.005479304000005
64_0	C(CO)(CCO)=O	Retro Aldol	104.047344116
C(C(C(C=O)O)O)(CCO)=O	64_1	Knoevenagel H (inv)	162.05282342
64_1	C(C=O)=O	Knoevenagel H (inv)	58.005479304000005
64_1	C(CO)(CCO)=O	Knoevenagel H (inv)	104.047344116
C(C(C(C=O)O)O)(CCO)=O	66_0	Retro Aldol	162.05282342
66_0	C=O	Retro Aldol	30.010564684
66_0	C(C(C(C(C)=O)O)O)=O	Retro Aldol	132.042258736
C(C(C(CC(CO)=O)O)O)=O	67_0	Retro Aldol	162.05282342
67_0	C(CO)=O	Retro Aldol	60.021129368000004
67_0	C(CC(CO)=O)=O	Retro Aldol	102.031694052
C(C(C(CC(CO)=O)O)O)=O	67_1	Knoevenagel H (inv)	162.05282342
67_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
67_1	C(CC(CO)=O)=O	Knoevenagel H (inv)	102.031694052
C(C(C(CC(CO)=O)O)O)=O	70_0	Retro Aldol	162.05282342
70_0	C(C(C=O)O)=O	Retro Aldol	88.016043988
70_0	C(C)(CO)=O	Retro Aldol	74.036779432
C(C(C(C(C(C)=O)O)O)O)=O	71_0	Retro Aldol	162.05282342
71_0	C(CO)=O	Retro Aldol	60.021129368000004
71_0	C(C(C(C)=O)O)=O	Retro Aldol	102.031694052
C(C(C(C(C(C)=O)O)O)O)=O	71_1	Knoevenagel H (inv)	162.05282342
71_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
71_1	C(C(C(C)=O)O)=O	Knoevenagel H (inv)	102.031694052
C(C(C(C(C(C)=O)O)O)O)=O	72_0	Retro Aldol	162.05282342
72_0	C(C(C=O)O)=O	Retro Aldol	88.016043988
72_0	C(C)(CO)=O	Retro Aldol	74.036779432
C(C(C(C(C(C)=O)O)O)O)=O	72_1	Knoevenagel H (inv)	162.05282342
72_1	C(C(C=O)O)=O	Knoevenagel H (inv)	88.016043988
72_1	C(C)(CO)=O	Knoevenagel H (inv)	74.036779432
C(CC(C(C(C=O)O)O)O)=O	74_0	Retro Aldol	162.05282342
74_0	C(CO)=O	Retro Aldol	60.021129368000004
74_0	C(CC(C=O)O)=O	Retro Aldol	102.031694052
C(CC(C(C(C=O)O)O)O)=O	74_1	Knoevenagel H (inv)	162.05282342
74_1	C(CO)=O	Knoevenagel H (inv)	60.021129368000004
74_1	C(CC(C=O)O)=O	Knoevenagel H (inv)	102.031694052
C(CC(C(C(C=O)O)O)O)=O	77_0	Retro Aldol	162.05282342
77_0	C(C(C(C=O)O)O)=O	Retro Aldol	118.02660867200001
77_0	C(C)=O	Retro Aldol	44.026214748
C(CO)=O	78_0	Keto-enol migration twice	60.021129368000004
78_0	C(CO)=O	Keto-enol migration twice	60.021129368000004
C(C(C(CO)O)O)=O	80_0	Keto-enol migration twice	120.04225873600001
80_0	C(CO)(C(CO)O)=O	Keto-enol migration twice	120.04225873600001
C(CO)(C(C(C(CO)O)O)O)=O	81_0	Keto-enol migration twice	180.063388104
81_0	C(C(C(C(C(CO)O)O)O)O)=O	Keto-enol migration twice	180.063388104
C(CO)(C(C(C(CO)O)O)O)=O	83_0	Keto-enol migration twice	180.063388104
83_0	C(C(C(CO)O)O)(C(CO)O)=O	Keto-enol migration twice	180.063388104
C(CC(C(C(CO)O)O)=O)=O	85_0	Keto-enol migration twice	162.05282342
85_0	C(CC(C(C(CO)O)=O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(CC(CO)O)=O)O)=O	87_0	Keto-enol migration twice	162.05282342
87_0	C(C(CO)=O)(CC(CO)O)=O	Keto-enol migration twice	162.05282342
C(C(C(CC(CO)O)=O)O)=O	89_0	Keto-enol migration twice	162.05282342
89_0	C(C(C(CC(CO)O)O)=O)=O	Keto-enol migration twice	162.05282342
C(CC(C=O)O)(C(CO)O)=O	91_0	Keto-enol migration twice	162.05282342
91_0	C(C(CO)O)(CC(CO)=O)=O	Keto-enol migration twice	162.05282342
C(CC(C=O)O)(C(CO)O)=O	93_0	Keto-enol migration twice	162.05282342
93_0	C(C(CC(C(CO)=O)O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(C=O)O)O)(CCO)=O	95_0	Keto-enol migration twice	162.05282342
95_0	C(CCO)(C(C(CO)=O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(C=O)O)O)(CCO)=O	97_0	Keto-enol migration twice	162.05282342
97_0	C(C(C(C(CCO)O)=O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(CC(CO)=O)O)O)=O	99_0	Keto-enol migration twice	162.05282342
99_0	C(CO)(C(CC(CO)=O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(CC(CO)=O)O)O)=O	101_0	Keto-enol migration twice	162.05282342
101_0	C(C(C(CC(C=O)O)O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(C(C(C)=O)O)O)O)=O	103_0	Keto-enol migration twice	162.05282342
103_0	C(C)(C(C(C(CO)=O)O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(C(C(C)=O)O)O)O)=O	105_0	Keto-enol migration twice	162.05282342
105_0	C(C(C(C=O)O)O)(C(C)O)=O	Keto-enol migration twice	162.05282342
C(CC(C(C(C=O)O)O)O)=O	107_0	Keto-enol migration twice	162.05282342
107_0	C(CC(C(C(CO)=O)O)O)=O	Keto-enol migration twice	162.05282342
C(C(C(C(C(CO)O)O)O)O)=O	109_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	109_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(CO)=O	109_0	Cannizarro 2, glucose (oxidation)	60.021129368000004
109_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
109_0	C(CO)O	Cannizarro 2, glucose (oxidation)	62.036779432
C(C(C(C(C(CO)O)O)O)O)=O	111_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	111_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(C(C(CO)O)O)=O	111_0	Cannizarro 2, glucose (oxidation)	120.04225873600001
111_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
111_0	C(C(C(CO)O)O)O	Cannizarro 2, glucose (oxidation)	122.0579088
C(C(C(C(C(CO)O)O)O)O)=O	113_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	113_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(C(CC(C(CO)O)O)=O)=O	113_0	Cannizarro 2, glucose (oxidation)	162.05282342
113_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
113_0	C(CO)(CC(C(CO)O)O)=O	Cannizarro 2, glucose (oxidation)	164.068473484
C(C(C(C(C(CO)O)O)O)O)=O	115_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	115_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(CC(C(C(CO)O)O)=O)=O	115_0	Cannizarro 2, glucose (oxidation)	162.05282342
115_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
115_0	C(C(C(CO)O)O)(CCO)=O	Cannizarro 2, glucose (oxidation)	164.068473484
C(C(C(C(C(CO)O)O)O)O)=O	117_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	117_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(C(C(CC(CO)O)=O)O)=O	117_0	Cannizarro 2, glucose (oxidation)	162.05282342
117_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
117_0	C(C(CO)O)(CC(CO)O)=O	Cannizarro 2, glucose (oxidation)	164.068473484
C(C(C(C(C(CO)O)O)O)O)=O	118_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	118_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(CC(C=O)O)(C(CO)O)=O	118_0	Cannizarro 2, glucose (oxidation)	162.05282342
118_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
118_0	C(C(CO)O)(CC(CO)O)=O	Cannizarro 2, glucose (oxidation)	164.068473484
C(C(C(C(C(CO)O)O)O)O)=O	119_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	119_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(C(C(C=O)O)O)(CCO)=O	119_0	Cannizarro 2, glucose (oxidation)	162.05282342
119_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
119_0	C(C(C(CO)O)O)(CCO)=O	Cannizarro 2, glucose (oxidation)	164.068473484
C(C(C(C(C(CO)O)O)O)O)=O	120_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	120_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(C(C(CC(CO)=O)O)O)=O	120_0	Cannizarro 2, glucose (oxidation)	162.05282342
120_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
120_0	C(CO)(CC(C(CO)O)O)=O	Cannizarro 2, glucose (oxidation)	164.068473484
C(C(C(C(C(CO)O)O)O)O)=O	122_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	122_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(C(C(C(C(C)=O)O)O)O)=O	122_0	Cannizarro 2, glucose (oxidation)	162.05282342
122_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
122_0	C(C)(C(C(C(CO)O)O)O)=O	Cannizarro 2, glucose (oxidation)	164.068473484
C(C(C(C(C(CO)O)O)O)O)=O	124_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	124_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(CC(C(C(C=O)O)O)O)=O	124_0	Cannizarro 2, glucose (oxidation)	162.05282342
124_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
124_0	C(CC(C(C(CO)O)O)O)=O	Cannizarro 2, glucose (oxidation)	164.068473484
C(C(C(C(C(CO)O)O)O)O)=O	126_0	Cannizarro 2, glucose (oxidation)	180.063388104
O	126_0	Cannizarro 2, glucose (oxidation)	18.010564684
C(CC(C(C(C=O)O)O)O)=O	126_0	Cannizarro 2, glucose (oxidation)	162.05282342
126_0	C(C(C(C(C(CO)O)O)O)O)(O)=O	Cannizarro 2, glucose (oxidation)	196.05830272400001
126_0	C(C(C(C(CCO)O)O)O)=O	Cannizarro 2, glucose (oxidation)	164.068473484
C(C(C(C(C(CO)O)O)O)O)=O	128_0	Cannizarro 2, glucose (reduction)	180.063388104
O	128_0	Cannizarro 2, glucose (reduction)	18.010564684
C(CO)=O	128_0	Cannizarro 2, glucose (reduction)	60.021129368000004
128_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
128_0	C(CO)(O)=O	Cannizarro 2, glucose (reduction)	76.01604398799999
C(C(C(C(C(CO)O)O)O)O)=O	130_0	Cannizarro 2, glucose (reduction)	180.063388104
O	130_0	Cannizarro 2, glucose (reduction)	18.010564684
C(C(C(CO)O)O)=O	130_0	Cannizarro 2, glucose (reduction)	120.04225873600001
130_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
130_0	C(C(C(CO)O)O)(O)=O	Cannizarro 2, glucose (reduction)	136.03717335599998
C(C(C(C(C(CO)O)O)O)O)=O	132_0	Cannizarro 2, glucose (reduction)	180.063388104
O	132_0	Cannizarro 2, glucose (reduction)	18.010564684
C(C(CC(C(CO)O)O)=O)=O	132_0	Cannizarro 2, glucose (reduction)	162.05282342
132_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
132_0	C(C(CC(C(CO)O)O)=O)(O)=O	Cannizarro 2, glucose (reduction)	178.04773803999998
C(C(C(C(C(CO)O)O)O)O)=O	134_0	Cannizarro 2, glucose (reduction)	180.063388104
O	134_0	Cannizarro 2, glucose (reduction)	18.010564684
C(CC(C(C(CO)O)O)=O)=O	134_0	Cannizarro 2, glucose (reduction)	162.05282342
134_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
134_0	C(CC(C(C(CO)O)O)=O)(O)=O	Cannizarro 2, glucose (reduction)	178.04773804
C(C(C(C(C(CO)O)O)O)O)=O	136_0	Cannizarro 2, glucose (reduction)	180.063388104
O	136_0	Cannizarro 2, glucose (reduction)	18.010564684
C(C(C(CC(CO)O)=O)O)=O	136_0	Cannizarro 2, glucose (reduction)	162.05282342
136_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
136_0	C(C(C(CC(CO)O)=O)O)(O)=O	Cannizarro 2, glucose (reduction)	178.04773803999998
C(C(C(C(C(CO)O)O)O)O)=O	138_0	Cannizarro 2, glucose (reduction)	180.063388104
O	138_0	Cannizarro 2, glucose (reduction)	18.010564684
C(CC(C=O)O)(C(CO)O)=O	138_0	Cannizarro 2, glucose (reduction)	162.05282342
138_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
138_0	C(CC(C(O)=O)O)(C(CO)O)=O	Cannizarro 2, glucose (reduction)	178.04773803999998
C(C(C(C(C(CO)O)O)O)O)=O	140_0	Cannizarro 2, glucose (reduction)	180.063388104
O	140_0	Cannizarro 2, glucose (reduction)	18.010564684
C(C(C(C=O)O)O)(CCO)=O	140_0	Cannizarro 2, glucose (reduction)	162.05282342
140_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
140_0	C(C(C(C(O)=O)O)O)(CCO)=O	Cannizarro 2, glucose (reduction)	178.04773803999998
C(C(C(C(C(CO)O)O)O)O)=O	142_0	Cannizarro 2, glucose (reduction)	180.063388104
O	142_0	Cannizarro 2, glucose (reduction)	18.010564684
C(C(C(CC(CO)=O)O)O)=O	142_0	Cannizarro 2, glucose (reduction)	162.05282342
142_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
142_0	C(C(C(CC(CO)=O)O)O)(O)=O	Cannizarro 2, glucose (reduction)	178.04773803999998
C(C(C(C(C(CO)O)O)O)O)=O	144_0	Cannizarro 2, glucose (reduction)	180.063388104
O	144_0	Cannizarro 2, glucose (reduction)	18.010564684
C(C(C(C(C(C)=O)O)O)O)=O	144_0	Cannizarro 2, glucose (reduction)	162.05282342
144_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
144_0	C(C(C(C(C(C)=O)O)O)O)(O)=O	Cannizarro 2, glucose (reduction)	178.04773803999998
C(C(C(C(C(CO)O)O)O)O)=O	146_0	Cannizarro 2, glucose (reduction)	180.063388104
O	146_0	Cannizarro 2, glucose (reduction)	18.010564684
C(CC(C(C(C=O)O)O)O)=O	146_0	Cannizarro 2, glucose (reduction)	162.05282342
146_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
146_0	C(CC(C(C(C(O)=O)O)O)O)=O	Cannizarro 2, glucose (reduction)	178.04773803999998
C(C(C(C(C(CO)O)O)O)O)=O	148_0	Cannizarro 2, glucose (reduction)	180.063388104
O	148_0	Cannizarro 2, glucose (reduction)	18.010564684
C(CC(C(C(C=O)O)O)O)=O	148_0	Cannizarro 2, glucose (reduction)	162.05282342
148_0	C(C(C(C(C(CO)O)O)O)O)O	Cannizarro 2, glucose (reduction)	182.079038168
148_0	C(CC(C(C(C=O)O)O)O)(O)=O	Cannizarro 2, glucose (reduction)	178.04773803999998
C(CC(C=O)O)(C(CO)O)=O	150_0	Knoevenagel C	162.05282342
150_0	C1(CC(C(C1(CO)O)O)O)=O	Knoevenagel C	162.05282342
C(CC(C=O)O)(C(CO)O)=O	150_1	Knoevenagel H	162.05282342
150_1	C1(CC(C(C1(CO)O)O)O)=O	Knoevenagel H	162.05282342
C(CC(C(C(C=O)O)O)O)=O	152_0	Knoevenagel C	162.05282342
152_0	C(C1(C(C(CC1O)O)O)O)=O	Knoevenagel C	162.05282342
C(CC(C(C(C=O)O)O)O)=O	152_1	Knoevenagel H	162.05282342
152_1	C(C1(C(C(CC1O)O)O)O)=O	Knoevenagel H	162.05282342
C(CO)=O	154_0	Knoevenagel C	60.021129368000004
C(C(C(CO)O)O)=O	154_0	Knoevenagel C	120.04225873600001
154_0	C(C(C(CO)O)(C(CO)O)O)=O	Knoevenagel C	180.063388104
C(CO)=O	154_1	Knoevenagel H	60.021129368000004
C(C(C(CO)O)O)=O	154_1	Knoevenagel H	120.04225873600001
154_1	C(C(C(CO)O)(C(CO)O)O)=O	Knoevenagel H	180.063388104
C(C(C(C(C(CO)O)O)O)O)(O)=O	155_0	Knoevenagel H (inv)	196.05830272400001
155_0	C(C(C(CO)O)O)=O	Knoevenagel H (inv)	120.04225873600001
155_0	C(CO)(O)=O	Knoevenagel H (inv)	76.01604398799999
C(C(C(CO)O)O)=O	156_0	Elimination + enol to keto	120.04225873600001
156_0	O	Elimination + enol to keto	18.010564684
156_0	C(C(CCO)=O)=O	Elimination + enol to keto	102.031694052
C(C(C(CO)O)O)=O	157_0	Elimination + enol to keto	120.04225873600001
157_0	O	Elimination + enol to keto	18.010564684
157_0	C(CC(CO)=O)=O	Elimination + enol to keto	102.031694052
C(C(C(CO)O)O)=O	158_0	Elimination + enol to keto	120.04225873600001
158_0	O	Elimination + enol to keto	18.010564684
158_0	C(C(C(C)=O)O)=O	Elimination + enol to keto	102.031694052
C(C(C(CO)O)O)=O	159_0	Elimination + enol to keto	120.04225873600001
159_0	O	Elimination + enol to keto	18.010564684
159_0	C(CC(C=O)O)=O	Elimination + enol to keto	102.031694052
C(CO)(C(C(C(CO)O)O)O)=O	160_0	Elimination + enol to keto	180.063388104
160_0	O	Elimination + enol to keto	18.010564684
160_0	C(C(CO)=O)(CC(CO)O)=O	Elimination + enol to keto	162.05282342
C(CO)(C(C(C(CO)O)O)O)=O	161_0	Elimination + enol to keto	180.063388104
